docno,recency_score
-3675134485955611880,1751562461.0
-2553704026810402346,1751566833.0
379776743807454562,1751521538.0
-860317351505771103,1740584296.0
2823044240109554362,1707748039.0
1715512825496102558,1706812219.0
-6673020233091945057,1681541852.0
2024066162090589551,1728574769.0
6854709662925289712,1685991956.0
8994728840920494784,1740976345.0
9092733757345611222,1746542748.0
-7078269992549773256,1740744103.0
5003256892823495949,1706893343.0
-7881534587944280428,1751351029.0
-4857383450660794708,1751448693.0
-7212896117272501447,1751473119.0
8380391985589385376,1751480259.0
457194364966222620,1751349616.0
8988765945005652080,1751350830.0
-1448162794969876513,1751362101.0
-4295621961037434652,1751359251.0
2991437698927628827,1751397444.0
6941762660806559078,1739132521.0
-2946270393353643885,1740333861.0
8927535366738271910,1751439653.0
-145553472438655655,1751445213.0
-1623760351388834381,1751561321.0
8868080249290319784,1706893343.0
-8992512313606925632,1707824093.0
581448686434660657,1738443503.0
-581448686434660657,1751563579.0
91176922865581993,1751435785.0
-8035236711825955598,1751208445.0
-6834439766843986809,1751523780.0
-6060829370719047211,1751436346.0
-264696763166845615,1751438741.0
6652834519430971911,1751474310.0
-499613933144580697,1751467022.0
-4621693655390204981,1751469468.0
-3202187494637621358,1740678639.0
4743131556630977096,1710857017.0
-3424246187725963282,1751470861.0
4707490659770151719,1751606968.0
7292867200671034948,1751480012.0
-8596963998744272044,1740678596.0
-6463207799816443863,1751475486.0
-317597041843205970,1740253562.0
-2672575725826920177,1750758678.0
-8974664542925592678,1672487779.0
-3624172658682078276,1685991956.0
674894162243850233,1751480278.0
7732249234447330952,1750055863.0
-3079819141136554767,1750941028.0
48999189677974836,1751534424.0
-4080908708395363643,1751466560.0
5390491342115980964,1751393754.0
8282879917070872478,1751481226.0
8566529967732626283,1751479920.0
-7700319488677614412,1750187554.0
2504080935154609814,1751574805.0
-8536724943381078432,1685991956.0
4157720719174862530,1738358463.0
-1761573794033971484,1746109306.0
-5397934714148194381,1751605679.0
6885931936663157945,1751466467.0
1870947200844441051,1750965815.0
-3699240344106962254,1748599031.0
-7739962083970698922,1749059001.0
-3025427799578028570,1749014400.0
-3812373961904564754,1745057387.0
3508973242092736386,1749629012.0
-4036539421217346291,1744357033.0
6106869218852168330,1751611647.0
3929364483936194717,1739469605.0
8160564142798413406,1740373832.0
3713807098971473841,1751525258.0
-481568239071219162,1747074910.0
5701723781293283552,1751610940.0
4989305625851050939,1749629056.0
8577570580930445610,1658842692.0
-6330182644886349576,1733392308.0
3735489027691963136,1744821726.0
812120149909922117,1744628648.0
-2533471149751714227,1746277618.0
-3590803037903365255,1738201644.0
393014874783302186,1735449900.0
4214393597547260048,1738857945.0
-8052757074674535591,1710857017.0
61956149537432377,1640412662.0
-6316454989082515262,1668885151.0
-7292016045351012006,1751608152.0
7409376075192355523,1751529916.0
-3406699580303202858,1744301274.0
-1347491638759553958,1740373770.0
-5295714614440861481,1682013665.0
8667081132557883872,1677090502.0
6444102726062760984,1748847779.0
3573138703965208131,1745958894.0
-2162289452042318743,1738808901.0
-4093877837575397249,1738046079.0
-6436385885343270169,1740287861.0
-5760866414473062742,1740201137.0
1156805595646724456,1675327162.0
5443487683573840523,1746027454.0
-6355615980384520127,1746173603.0
-6146541913752527577,1746170239.0
-5353477876905544988,1748849352.0
7846852785349970508,1744280303.0
3355543310529950006,1654555000.0
-7225599027894643227,1738793342.0
-1689965753524032666,1750788743.0
-5679511579201115899,1738833373.0
9152952595352377440,1746002139.0
-2688543589187934248,1746093354.0
4041753605596299939,1744273842.0
-1439948550530453334,1748367090.0
6896785566871630146,1748597656.0
-8510182732730328623,1668885151.0
-2274932385632815194,1668885151.0
1263723437329339181,1745515592.0
4058393024866457436,1749560679.0
4469621964864201139,1748782006.0
-238701241072714772,1744302234.0
4733511582473666035,1747923675.0
-7462933775787715352,1740410356.0
7628259867581968470,1738604398.0
-6465718075246591082,1748598372.0
8919377592757788988,1748275829.0
-3840400898037260766,1747855170.0
-5393997383593220,1748698500.0
-7391725459415516333,1744263945.0
6058992407646894675,1747902807.0
-7082227832757662155,1747840375.0
-6061372406126623257,1671042368.0
-2580319181502460498,1667996073.0
-5156693700571108065,1647778288.0
8141675757860971329,1740398411.0
-3313180887829151210,1747827833.0
5991245286907237222,1747837215.0
-4252249436466842335,1748280960.0
173076466891883336,1738595500.0
-2699419812604663059,1747801004.0
-5932816953561726813,1748599375.0
7493426228251045118,1748592505.0
-3904253429356354751,1739020339.0
-5525972901269822847,1665297397.0
-1056573372182674853,1664124560.0
6639749037241342081,1648530822.0
-4072312698213218095,1747741435.0
6519232110893920253,1747162793.0
2363649670123196914,1748862206.0
-7265630938257700381,1737633649.0
3889560359736889602,1737633640.0
5765894655019957365,1738461840.0
560120685168557434,1747808565.0
-5871921173274532461,1736942684.0
-1034628056172776707,1664552861.0
2877102458280201911,1642618965.0
4277991709754920420,1748246822.0
-4846723361990754804,1747808598.0
1900801572430800401,1740398411.0
-3476344891366928901,1748535840.0
-4127470933133752645,1737654766.0
-6115249637229451002,1739428568.0
-8916430392383882037,1647778288.0
4495921423137885947,1647778288.0
6302891171874370670,1739164991.0
-2800445453389090191,1739358344.0
7205415995344546907,1430308997.0
3080318048962217981,1747719128.0
-4930923468538782271,1748197210.0
1057426816641591094,1748179773.0
-6645442262657531535,1747727645.0
-504109981215294563,1747746026.0
-1639988593117116787,1646294879.0
-6361009794120413331,1747685760.0
1498510742211206406,1734368854.0
5881789628653760568,1737103645.0
6581589446287731924,1747680171.0
-448537293300397503,1737207948.0
30943871211560030,1642618965.0
8242097460455590129,1734430055.0
-6559193064146741928,1639756918.0
8828440392013186373,1734272899.0
1055434292160615713,1747743428.0
7842466361902891857,1747681503.0
7224490777237557303,1747680869.0
-4829491900597780184,1749656598.0
-3247629125736439693,1748885984.0
4792242108715919100,1635263839.0
7239760241009945521,1737132844.0
5277825114817194858,1736603943.0
